Sample,Type,Site,Site_Name,Status,Morph,Length,Type_2
Astfood_Z_12,Z,Site 2,Luenga,alive,T,40,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,33,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,34,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,17,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,20,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,29,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,34,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,29,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,26,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,18,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,19,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,36,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,28,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,23,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,11,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,25,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,27,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,19,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,13,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,45,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,38,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,20,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,23,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,12,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,39,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,37,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,28,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,21,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,23,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,9,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,37,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,21,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,17,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,28,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,39,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,33,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,24,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,24,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,46,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,39,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,22,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,11,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,E,14,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,41,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,36,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,25,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,24,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,26,Stage 3
